YTID;start_seconds;end_seconds;positive_labels;labels;Gunshot
-Dl-VzBPd9E;270000;280000;/m/028ght;Applause;False
-Dtir74TiUM;40000;50000;/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv;"Scratching (performance technique);Drum and bass;Music;Scratch";False
-DvxsHG1tuo;410000;420000;/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r;"Music;Male speech, man speaking;Yell;Speech";False
-E013cWxoMo;10000;20000;/m/02_nn;Fart;False
-ECK_BisOLM;20000;30000;/m/04rlf,/t/dd00006;"Music;Synthetic singing";False
-EDGR1davAc;40000;50000;/m/0gy1t2s;Bicycle bell;False
-EDhb2m8qhk;30000;40000;/m/01z7dr,/m/04rlf;"Video game music;Music";False
-EFS2mihxs0;240000;250000;/m/02rhddq,/m/07yv9,/t/dd00129;"Reversing beeps;Vehicle;Outside, rural or natural";False
-ETHxO8vrAg;30000;40000;/m/015lz1,/m/04rlf,/t/dd00004;"Singing;Music;Female singing";False
-ETSfElMyNc;220000;230000;/m/0chx_;White noise;False
-En5nC5Tka4;30000;40000;/m/07qlwh6,/m/09x0r;"Squish;Speech";False
-F8ZP9sXcKM;5000;15000;/t/dd00006;Synthetic singing;False
-FEPOSP7ay0;260000;270000;/m/0395lw;Bell;False
-FFx68qSAuY;190000;200000;/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md;"Drum;Drum kit;Drum roll;Rimshot;Snare drum;Bass drum;Percussion";False
-FT5MbWPCzg;540000;550000;/m/03w41f;Church bell;False
-FVBrg2qeIA;90000;100000;/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y;"Guitar;Music;Musical instrument;Whoop;Speech;Plucked string instrument";False
-FYyJ2sAWk4;200000;210000;/m/0242l;Coin (dropping);False
-Fby-7z_JpE;0;8000;/m/07q5rw0;Neigh, whinny;False
-FlvaZQOr2I;90000;100000;/m/04rlf,/t/dd00037;"Music;Scary music";False
-Fn3Ze8xVOE;210000;220000;/m/05w3f,/m/0dl5d;"Psychedelic rock;Progressive rock";False
-G3Ph35cTy0;30000;40000;/m/09x0r,/t/dd00136;"Speech;Whimper (dog)";False
-GDC7PuqdOM;30000;40000;/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130;"Engine;Idling;Medium engine (mid frequency);Engine starting";False
-GI5PbO6j50;30000;40000;/m/03qc9zr;Screaming;False
-GREE8GdRrc;30000;40000;/m/02z32qm,/t/dd00129;"Fusillade;Outside, rural or natural";False
-G_hnfp4a0M;30000;40000;/m/04rlf,/m/07pbtc8;"Music;Walk, footsteps";False
-GaHBgRGi4s;10000;20000;/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00126;"Music;Chatter;Speech;Inside, large room or hall";False
-GbQWmFzVdY;60000;70000;/m/01h3n,/m/03vt0,/m/0h2mp;"Bee, wasp, etc.;Insect;Fly, housefly";False
-GiRtQZlnbw;280000;290000;/m/04_sv,/m/07yv9;"Motorcycle;Vehicle";False
-GlZ819IHfE;30000;40000;/m/07pn_8q;Chopping (food);False
-H5WnRXsnoM;130000;140000;/m/07qwdck,/m/09x0r,/t/dd00125;"Ping;Speech;Inside, small room";False
-H5kC4WsuI8;30000;40000;/m/07qcpgn,/m/09x0r;"Tap;Speech";False
-H7l8OjHID4;10000;20000;/m/06xkwv,/m/07rcgpl;"Mains hum;Hum";False
-HLoD4GWMtw;4000;14000;/m/04rmv;Mouse;False
-HN5kqCKpEA;30000;40000;/m/04rlf,/m/07pws3f,/m/09x0r;"Music;Bang;Speech";False
-Hav5URxl74;30000;40000;/m/04fgwm;Electric toothbrush;False
-HlS6jz-f0I;170000;180000;/m/04rlf,/m/0dq0md;"Music;Music of Bollywood";False
-HnNrGtKXp4;30000;40000;/m/04rlf,/m/0m0jc;"Music;Electronica";False
-HvtS74RG8w;240000;250000;/m/03l9g;Hammer;False
-IKwiAsgpAI;500000;510000;/m/02p01q,/m/07pdjhy,/m/083vt;"Filing (rasp);Rub;Wood";False
-IWlQN6cfe4;30000;40000;/m/07pbtc8;Walk, footsteps;False
-IZsyroG6yo;420000;430000;/m/07rkbfh,/m/09x0r;"Chatter;Speech";False
-ItCGHv_9Gs;3000;13000;/m/07r4wb8,/m/09x0r;"Knock;Speech";False
-J0H5ah1G7A;30000;40000;/m/025td0t,/m/04rlf;"Background music;Music";False
-JBvPwxaVVg;110000;120000;/m/04rlf,/m/07qnq_y,/m/09x0r;"Music;Thump, thud;Speech";False
-JKLmqDk9p8;490000;500000;/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038;"Rain;Raindrop;Thunderstorm;Thunder;Rain on surface";False
-JOKwS64mRU;150000;160000;/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092;"Boat, Water vehicle;Wind;Ship;Wind noise (microphone)";False
-JVWfFPBl84;330000;340000;/m/0l14t7;Singing bowl;False
-Jam3cjbeFQ;30000;40000;/m/07pws3f,/m/09x0r;"Bang;Speech";False
-JbPonixXS4;0;10000;/m/01j4z9,/m/0_ksk;"Chainsaw;Power tool";False
-JfXNXGi-l8;70000;80000;/m/03wvsk;Hair dryer;False
-JfpacjZWyw;30000;40000;/m/01c194;Mantra;False
-Jie0k7xUIk;10000;20000;/m/012xff,/m/07r5v4s;"Toothbrush;Drip";False
-JuVh6islEI;30000;40000;/m/06bz3,/m/09x0r;"Radio;Speech";False
-K-k1pxeRtQ;30000;40000;/m/03qtwd,/m/04gy_2;"Crowd;Battle cry";False
-K4R9SXZZsk;10000;20000;/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j;"Motor vehicle (road);Vehicle;Noise;Car";False
-KElVp2r03E;530000;540000;/m/018w8,/m/07rjzl8,/m/09x0r;"Basketball bounce;Slam;Speech";False
-KaRoM5LnHc;30000;40000;/m/07pyf11,/m/09x0r;"Flap;Speech";False
-KengzYsTkk;60000;70000;/m/06hck5;Steam whistle;False
-KiAK66YwW8;150000;160000;/m/07r4k75,/m/09x0r;"Grunt;Speech";False
-L44JqysUy8;190000;200000;/m/07qc9xj,/m/09x0r,/t/dd00125;"Clicking;Speech;Inside, small room";False
-L68XDzhn2g;80000;90000;/m/02x984l,/m/09x0r;"Mechanical fan;Speech";False
-LB1RoVe8Xc;270000;280000;/m/04rlf,/m/07rrh0c;"Music;Thunk";False
-LBl0UeKNyU;430000;440000;/m/07p6mqd,/m/09x0r,/t/dd00125,/t/dd00128;"Slosh;Speech;Inside, small room;Outside, urban or manmade";False
-LQM385KSMY;30000;40000;/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw;"Blues;Music;Rhythm and blues;Ska";False
-M-6VinyMiY;30000;40000;/m/04rlf,/t/dd00033;"Music;Sad music";False
-MZx1np1Ddc;30000;40000;/m/01jnbd,/m/09x0r;"Echo;Speech";False
-M_5w6KKfgQ;0;10000;/m/04rlf,/m/07r4wb8,/m/09x0r;"Music;Knock;Speech";False
-MfaG0whPJc;130000;140000;/m/07qv4k0,/t/dd00129;"Scrape;Outside, rural or natural";False
-MtYGIr-o08;50000;60000;/m/03qtwd,/m/04gy_2;"Crowd;Battle cry";False
-Mu1AWT_x54;320000;330000;/m/03v3yw,/m/09x0r;"Keys jangling;Speech";False
-N2reaP4SoI;30000;40000;/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r;"Acoustic guitar;Music;Strum;Speech";False
-NC5li0b4eY;30000;40000;/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00006;"Music;Male singing;Female singing;Synthetic singing";False
-NNjOlPg0y0;0;5000;/m/04rlf,/m/07c52;"Music;Television";False
-NPqCu4DyAM;30000;40000;/m/04rlf,/t/dd00032;"Music;Funny music";False
-N_vl1d7TFA;30000;40000;/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk;"Cat;Purr;Music;Domestic animals, pets;Animal";False
-NmjCyqIavI;30000;40000;/m/02cz_7,/m/04rlf,/m/0y4f8;"Beatboxing;Music;Vocal music";False
-NutOdeXH8s;50000;60000;/m/07pqc89;Trickle, dribble;False
-NwuLeOWpLk;420000;430000;/m/01lsmm;Scissors;False
-O842QWtymw;0;6000;/m/07st88b,/m/09ld4;"Croak;Frog";False
-O9mnfC61Ac;0;10000;/m/01lyv;Country;False
-ODqYMQFwsY;30000;40000;/t/dd00134;Car passing by;False
-ODzHayGHvk;50000;60000;/m/0ghcn6;Growling;False
-OIGA3xjYyQ;0;10000;/m/07rdhzs;Whack, thwack;False
-OYfLX-2kmU;30000;40000;/m/0140xf,/m/04rlf;"Christmas music;Music";False
-OaOY7-71ME;90000;100000;/m/04rlf,/m/0ggx5q;"Music;Dance music";False
-OylLzMa0d0;100000;110000;/m/04rlf,/m/07p78v5;"Music;Zing";False
-PFO-nCfRq0;0;9000;/m/01jt3m,/m/0838f;"Toilet flush;Water";False
-PIuJAAplqI;210000;220000;/m/016cjb,/m/04rlf;"Gospel music;Music";False
-Pvyzs28PJw;20000;30000;/m/03cczk,/m/07pdhp0,/m/07s12q4;"Chewing, mastication;Biting;Crunch";False
-Q9WotFs1MI;30000;40000;/m/07pczhz;Chop;False
-QE9dqhf_D8;170000;180000;/m/0642b4,/m/09x0r;"Cupboard open or close;Speech";False
-QSNQGKiGT4;260000;270000;/m/03qc9zr;Screaming;False
-QVqh513RxQ;15000;25000;/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136;"Domestic animals, pets;Speech;Dog;Animal;Whimper (dog)";False
-QcXMPUNMeM;0;10000;/m/09x0r,/t/dd00121,/t/dd00125;"Speech;Boing;Inside, small room";False
-QivqOnaPIc;100000;110000;/m/08j51y,/m/09x0r;"Dental drill, dentist's drill;Speech";False
-QoZQDW4qjU;30000;40000;/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136;"Music;Domestic animals, pets;Yip;Dog;Animal;Whimper (dog)";False
-R0267o4lLk;60000;70000;/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md;"Cowbell;Drum;Drum kit;Drum roll;Rimshot;Snare drum;Bass drum;Percussion";False
-R9gJXtS07g;0;10000;/m/04rlf,/m/07phhsh;"Music;Rumble";False
-RAdrtCW1hI;70000;80000;/m/032s66,/m/073cg4;"Gunshot, gunfire;Cap gun";True
-RIzfomIqZc;30000;40000;/m/04rlf,/m/07bjf,/m/09x0r;"Music;Single-lens reflex camera;Speech";False
-RPKtQIGBOY;30000;40000;/m/03cczk;Chewing, mastication;False
-RRi3QktLdc;500000;510000;/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128;"Speech;Child speech, kid speaking;Children playing;Outside, urban or manmade";False
-RZ01HFrafg;6000;16000;/m/07qs1cx;Crack;False
-RfUo7Hb8TE;30000;40000;/m/01b9nn,/m/04rlf,/m/09x0r;"Reverberation;Music;Speech";False
-Rl7NZwtVmA;40000;50000;/m/05_wcq;Bird flight, flapping wings;False
-RlXse804I0;30000;40000;/m/025td0t,/m/04rlf;"Background music;Music";False
-RsGz8XRZUM;30000;40000;/m/07pdhp0,/m/07pzfmf,/m/07s12q4;"Biting;Crackle;Crunch";False
-Ry1YNVPPCM;9000;19000;/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136;"Domestic animals, pets;Bow-wow;Speech;Dog;Animal;Whimper (dog)";False
-S-Cn-IKlQw;23000;33000;/m/07swgks,/m/09x0r;"Gurgling;Speech";False
-SD9DkKyOrY;30000;40000;/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md;"Cymbal;Drum;Drum kit;Hi-hat;Rimshot;Snare drum;Bass drum;Percussion";False
-Sclnq22t7o;30000;40000;/m/03q5_w;Burping, eructation;False
-T-ZI1MZ44g;40000;50000;/m/04rlf,/m/09x0r,/t/dd00127;"Music;Speech;Inside, public space";False
-T4GeTHKtJQ;30000;40000;/m/02x8m,/m/04rlf;"Funk;Music";False
-TJe1_ECCwM;6000;16000;/m/07pws3f;Bang;False
-TNmWwhsnzs;30000;40000;/m/07qv4k0;Scrape;False
-Tea8DpWZQM;13000;23000;/m/015lz1,/m/01swy6,/m/09x0r;"Singing;Yodeling;Speech";False
-ToQFT3M-Vg;200000;210000;/m/02cjck,/m/04rlf;"Theme music;Music";False
-TpdnwhYCvk;30000;40000;/m/07qsvvw;Burst, pop;False
-TvUb8THUq4;100000;110000;/m/04rlf,/m/06bxc;"Music;Rapping";False
-U3Xh6Fsw50;0;10000;/m/07pqn27,/m/09x0r;"Bouncing;Speech";False
-UGmXiQ8yiY;50000;60000;/m/03dnzn,/m/07p7b8y,/m/09x0r;"Bathtub (filling or washing);Fill (with liquid);Speech";False
-UNPp3fEWSE;0;10000;/m/01d380,/m/07k1x,/m/0_ksk;"Drill;Tools;Power tool";False
-UYmhq3Rjtc;30000;40000;/m/04rlf,/m/07pws3f;"Music;Bang";False
-Ub8LKPkhos;60000;70000;/m/06xkwv;Mains hum;False
-UbFLKplzbE;30000;40000;/m/01j4z9;Chainsaw;False
-UcfsxiD_ns;340000;350000;/m/0llzx;Sewing machine;False
-UfqtS1lsRY;30000;40000;/m/01bns_,/m/0d8_n;"Zither;Pizzicato";False
-UuEBhule84;350000;360000;/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r;"Singing;Country;Music;Strum";False
-Uw2HHni78U;80000;90000;/m/0jb2l,/m/0ngt1;"Thunderstorm;Thunder";False
-V7u2HffQAE;160000;170000;/m/07rrh0c,/m/09x0r;"Thunk;Speech";False
-VI2IRq17rs;360000;370000;/m/0395lw;Bell;False
-VXpZuIsb_g;30000;40000;/m/030rvx,/m/09x0r;"Buzzer;Speech";False
-VZZ_IzaG7A;350000;360000;/m/07phxs1;Ding;False
-VclCul6FrI;80000;90000;/m/013y1f,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0b9m1,/t/dd00125;"Organ;Music;Musical instrument;Keyboard (musical);Piano;Harmonic;Inside, small room";False
-VygdbfiRes;30000;40000;/m/07swgks,/m/09x0r;"Gurgling;Speech";False
-W5c6CeUMPE;40000;50000;/m/01swy6,/m/04rlf,/m/0l14j_,/m/0mkg;"Yodeling;Music;Flute;Accordion";False
-WFsDr9xBVo;30000;40000;/m/025wky1,/m/09x0r;"Air conditioning;Speech";False
-WH_8Hk1fnM;110000;120000;/m/04rlf,/m/07brj;"Music;Tambourine";False
-WX7nQcZPVQ;30000;40000;/m/04rlf,/m/04szw,/m/07brj;"Music;Musical instrument;Tambourine";False
-WmL01c-4ZE;20000;30000;/m/07rjzl8,/m/09x0r,/t/dd00128;"Slam;Speech;Outside, urban or manmade";False
-Wu-WkTumEM;30000;40000;/m/04rlf,/t/dd00004,/t/dd00005;"Music;Female singing;Child singing";False
-X14yAhC-SE;30000;40000;/m/07qs1cx;Crack;False
-X5Ay0Wuew0;20000;30000;/m/0dl83;Arrow;False
-X5M6FevXWU;30000;40000;/m/03lty,/m/04rlf,/m/0dl5d;"Heavy metal;Music;Progressive rock";False
-XAxN0GUsLs;270000;280000;/m/03vt0,/m/09f96,/m/0h2mp;"Insect;Mosquito;Fly, housefly";False
-XN0NtrnfMY;30000;40000;/m/04rlf,/t/dd00035;"Music;Exciting music";False
-XOINU-l1_o;90000;100000;/m/04rlf,/t/dd00035;"Music;Exciting music";False
-XVgCqsHi3g;30000;40000;/m/02mk9,/m/04229,/m/07pb8fc,/m/07yv9,/t/dd00067;"Engine;Jet engine;Idling;Vehicle;Heavy engine (low frequency)";False
-XkbErI_7EU;50000;60000;/m/01kcd,/m/0319l;"Brass instrument;French horn";False
-XxJ50brqGw;30000;40000;/m/09x0r,/t/dd00018;"Speech;Oink";False
-Y1qiiugnk8;30000;40000;/m/012n7d,/m/03j1ly,/m/03kmc9;"Ambulance (siren);Emergency vehicle;Siren";False
-Y3kEZ8li-A;30000;40000;/m/07rbp7_;Whip;False
